property_id,description,room_type,price_tier
23855466,Cheap Rental in Manhattan Downtown!,Entire home/apt,1
4405156,CHEAP & CONVENIENT,Entire home/apt,2
35031778,#GorgeousLowerEast2BedroomGem! #3minWalktoTrain!,Entire home/apt,3
550858,Gorgeous Chelsea loft in the heart of Manhattan,Entire home/apt,3
28582815,"Bright, spacious 2BR in classic brownstone",Entire home/apt,2
34439098,FULLY RENOVATED APARTMENT - BRAND NEW,Entire home/apt,1
22898938,A Peaceful Haven in a Bustling City,Private room,0
33746705,My home is open to everyone!,Private room,0
19769403,AMAZING 2 bedroom in the heart of Chelsea!,Entire home/apt,3
15711,2 bedroom - Upper East Side-great for kids,Entire home/apt,2
21946665,Great One Bedroom Apartment - 20 mins from NYC,Entire home/apt,2
32773207,Immersive Chelsea's Art House! Great Location!!,Entire home/apt,2
13841625,Large Bedroom Brooklyn,Private room,0
4538901,Entire Apt. in E. Williamsburg,Entire home/apt,2
19310278,BestofBrooklyn,Entire home/apt,1
32240186,Sonder | Stock Exchange | Unique 1BR + Kitchen,Entire home/apt,2
3450210,Spacious Apt in Townhouse near Columbia University,Entire home/apt,2
18076385,"2 Bedroom Apartament, UES, doormen in Manhattan",Entire home/apt,3
31815470,Crown heights apt,Private room,2
8204305,Gorgeous Penthouse next to Central Park,Private room,1
32190231,Stylish 1BR with back patio in Hell's Kitchen,Entire home/apt,2
10702865,Sunny and chic NYC apartment,Entire home/apt,2
2292366,cozy upper east side 1 br abode,Entire home/apt,1
26056703,"West 33rd street, Lux 1bd Serviced Apartment",Entire home/apt,2
15928835,Live like a NY'er! Lovely apartment in Manhattan,Entire home/apt,2
4187747,UPPER EAST Landmark Blding:Walk to Central Park,Entire home/apt,1
22336899,Brooklyn Home with Jacuzzi Tub and Backyard,Entire home/apt,1
29711508,"Cozy  clean room ;LGA 5 mints,JFK 10 mint Astoria",Private room,0
2261018,Studio Apartment on 35th and 3rd ,Entire home/apt,2
19141391,Unique Cozy Sunny converted Studio/One Bedroom,Entire home/apt,2
29359403,Cozy Sunny Harlem Studio,Entire home/apt,1
34370217,Room w/washer dryer updated apt. near Whole Foods,Private room,1
34565485,West 80's Private Bedroom Walk to  Central Park,Private room,1
30956743,1BR Park Slope Apt w/ Private Backyard,Entire home/apt,1
9894820,Upper East Side Manhattan 2 Bedroom,Entire home/apt,2
15260962,Luxury 2BR Penthouse in the hearth of Soho (Nyc),Entire home/apt,3
17751792,Prospect Heights Jewel,Entire home/apt,2
11633801,Prospect Heights Three Bedroom,Entire home/apt,2
9028527,Sunny duplex near Central Park,Entire home/apt,2
4662889,Pre-War Apt on Central Park West!,Entire home/apt,3
9692074,Student apt. 3 minutes from the 1/C,Private room,2
12542485,2 BDRM Apt. in the Middle of NYC apt. 3B,Entire home/apt,2
30737615,ONE BIG PARK SLOPE ROOM starting MARCH - MAY 2019,Private room,0
15447048,"Brooklyn, Where my story begins...",Entire home/apt,1
1304459,Sunny Williamsburg Artist's Loft,Entire home/apt,2
24201129,Bright & Cozy Studio in PRIME Flatiron/Chelsea,Entire home/apt,2
16558246,Cozy studio Upper East/Manhattan,Entire home/apt,2
18809063,Lovely apartment in Brooklyn,Entire home/apt,1
5252343,Close to LGA/JFK & 15min to Midtown,Private room,0
387377,THERE'S NO PLACE LIKE HOME.........,Entire home/apt,2
3111416,Charming and Artsy LES 1-Bedroom ,Entire home/apt,2
24607120,TWO BEDROOM UNICORN IN THE HEART OF WILLIAMSBURG,Entire home/apt,2
36199363,Furnished room  for rent in Bronx SINGLE FEMALE,Shared room,0
34153891,Private Room in a Brand New Apt / Quiet Building,Private room,0
10035920,Best of Brooklyn,Entire home/apt,2
24393653,SPECIOUS ONE BEDROOM IN THE HEART OF  CHELSEA,Private room,2
22008625,Sunny bedroom on Bed-Stuy/Bushwick boarder,Private room,1
19226317,Sunny Apartment in Brooklyn Heights,Entire home/apt,2
16534337,Spacious Private room in Charming Williamsburg,Private room,1
16400971,Washington Heights Oasis,Entire home/apt,2
26595733,Private Room near Columbia  University *,Private room,1
8883032,"Studio Apt, Prospect Park, Brooklyn",Entire home/apt,1
7717785,George Washington Bridge Delight- Entire Apt!,Entire home/apt,2
16026815,NEW RENO HUGE PRIVATE BED&BATH PLUS TERRACE,Private room,1
20155864,"New house in Rockaway Beach, NYC!",Entire home/apt,2
23772252,"Large, Sunny Williamsburg Apt - Private Room :)",Private room,1
21498344,Brooklyn's Finest 1BR APT in BedStuy/Clinton Hill,Entire home/apt,2
35539036,Two-Bedroom Apartment in Meatpacking District,Entire home/apt,3
24735773,Sunny room in cozy Bushwick apartment,Private room,0
19886609,The Magnificent,Private room,0
2702489,Charming Entire ❤️ apartment,Entire home/apt,1
25018204,"Paradise Garden, Spa, Steam & Massage Table #10299",Entire home/apt,3
17698189,A2Long Island City Big Room Great Location,Private room,0
16281547,Extremely Rare Townhouse in East Village,Entire home/apt,3
3779230,"Bright, cozy den in 4 bedrm duplex.",Private room,0
26911755,Eclectic sun-filled LES one bedroom,Entire home/apt,2
35127865,Luxury Apartment in Manhattan,Entire home/apt,2
33013821,Light Filled Room in EV,Private room,0
12081327,Private bedroom for 2-4 night stay in Clinton Hill,Private room,1
27628754,NYC entire 2 bd apartment 15 min to Manhattan,Entire home/apt,2
26058246,Sunny room in Avenida Siempre Verde - Bushwick,Private room,1
12071038,"UES area ,Luxury modern quiet private Apt",Entire home/apt,2
23222091,Lovely 1 bedroom in East Harlem,Entire home/apt,1
15550900,Bright large Williamsburg 1 bed apartment,Entire home/apt,2
32207088,"Wonderful large room, queen bed, next to Manhattan",Private room,0
28838673,Luxury Brownstone living in the heart of Brooklyn,Entire home/apt,3
32783365,Peaceful Sanctuary in the heart of the action,Entire home/apt,2
7460748,East Williamsburg /Bushwick Room,Private room,0
9476850,Cozy UWS Studio by Central Park,Entire home/apt,2
13508285,"Sunny, Quiet & Newly Renovated Upper East Side Apt",Entire home/apt,2
8036524,Renting very clean bedroom,Private room,2
16226427,(Williamsburg) Large bedroom with private balcony,Private room,0
3912794,"Park Slope 1 Bedroom, 1.5 Bath",Private room,1
29761534,FREE YOGA with Goodyoga's Guest Room!,Private room,1
12806177,Acogedora  habitación en el corazón de Manhattan,Private room,0
8416015,Cozy apt 20 minutes to Manhattan,Entire home/apt,1
35607568,High Floor One Bedroom Apartment,Entire home/apt,2
2653544,Common Area + Room in Spacious Loft-Like Apt.,Shared room,0
15774166,Lovely Bright Upper East Side,Private room,1
29923599,Studio Double | 2 Full Size Beds,Entire home/apt,3
147586,Beautiful Duplex w/Private Garden,Entire home/apt,3
10055149,Sunny & Quiet Studio w/ private patio - E Village!,Entire home/apt,2
1940780,Amazing Greenpoint/Williamsburg Apt,Entire home/apt,2
32180820,Modern & Spacious 3 Bedroom  Apt in Times Square,Entire home/apt,3
10209278,"One Bedroom Apt, Hell's Kitchen",Entire home/apt,1
12945400,Private Bedroom in Williamsburg,Private room,0
17735156,Private Cozy Large  Comfortable Bedroom.,Private room,0
11790749,"Big, bright apartment by the beach.",Entire home/apt,2
27628480,Great room#1,Private room,0
27906346,New york Multi-unit building,Entire home/apt,2
23377781,Riverside Delight,Entire home/apt,2
28187115,French charm in Manhattan,Entire home/apt,3
20186030,Private Room in Spacious Sunnyside Apartment,Private room,0
35167554,Cozy and private room close to LGA.,Private room,0
526520,Large light-filled Apt in Brooklyn,Private room,0
1472009,"Jupiter Suites, Rm #3- (JFK)",Private room,0
15582683,One of a kind Sun Filled Elegant Studio.,Entire home/apt,1
2432545,Your own apartment in Bushwick,Entire home/apt,1
32668712,BB+B  Brooklyn Brick & Brownstone/ Treetop terrace,Entire home/apt,3
9826822,Beautiful/Comfy 1BR Brownstone,Entire home/apt,2
22785118,BED-STUY BEAUTY W/ Private Entry & Private Garden,Entire home/apt,2
20720290,Sophisticated KING 1 Bedroom Best Location,Entire home/apt,2
30063759,Cozy Manhattan Hideaway,Private room,0
6807871,MANHATTAN STUDIO,Entire home/apt,1
28918768,living room space but with curtain for privacy,Shared room,0
19979480,1 Room in Bushwick *Females only*,Private room,0
22327260,"Incredible Tribeca Loft: natural light, spacious",Entire home/apt,3
24473230,Beautifully designed + renovated 3 bedroom home,Entire home/apt,2
36066155,Comfy Private Room Shared Bath/Kitchen,Private room,1
2310594,Studio Apt. in East Williamsburg,Entire home/apt,1
36142537,2 Bedroom Home away from home,Entire home/apt,2
9046808,Sunny East Harlem one bedroom,Entire home/apt,1
16974219,Big Room with Queen Bed&Comfy Couch,Private room,0
23583435,2 bedroom tourist heaven with outdoor space.,Entire home/apt,2
9953443,Large 1 BR LES,Entire home/apt,2
16333353,Clean Comfortable Room in Amazing NYC Neighborhood,Private room,0
6346456,Modern 1BR on Soho's Bowery,Entire home/apt,3
23144059,Large Room in a 2Bedrooms Perfect UWS Experience,Private room,1
7362840,Beautiful Private Area in Flatbush,Private room,0
11043540,Sunny LES Pied a Terre,Entire home/apt,2
20424288,Quintessential Soho Loft,Entire home/apt,2
13170049,Private Bedroom in a 3 BR Apt on Riverside Drive,Private room,1
16927533,Studio with amazing view,Entire home/apt,0
23375014,Light-drenched apartment - heart of Greenpoint,Private room,1
7398144,2 Bedroom in Heart of Williamsburg,Entire home/apt,2
34898461,Amazing midtown apartment near Times square,Entire home/apt,2
11437792,Hipster Room in South Williamsburg,Private room,0
32125848,Sunny Spacious room  and close to Manhattan,Private room,0
15004091,Cozy convenient Williamsburg bedrm!,Private room,0
34113802,"Brand New, Beautiful LES Apartment",Private room,1
6832599,Room in Williamsburg opposite park,Private room,0
35183293,Park Slope Studio w/3 beds (15 Mins to Manhattan!),Entire home/apt,2
36471896,Private Bedroom & PRIVATE BATHROOM in Manhattan,Private room,1
14756913,Beautiful loft apt. on quiet Bed-Stuy block,Entire home/apt,2
25274161,Beautiful Single Room,Private room,1
5287414,"A BETTA share -Low maintanence guests, e20's  NYC!",Shared room,0
18390143,"Huge Room, Top Floor Of Brownestone",Private room,2
30294144,It's a Stunning Day in Bed-Stuy!,Private room,0
31879380,Peaceful room in cool area close to G/7/Ferry/JFK,Private room,2
27033995,Brooklyn House,Entire home/apt,2
13912725,Master bedroom with a California king size bed,Private room,1
23966710,Private Room in Astoria 15 mins to Manhattan / LGA,Private room,0
35700700,Private clean  studio for adults *,Private room,1
24755230,West Village Walk-Up.,Entire home/apt,2
16506579,Interfaith Retreats (Kirtan),Private room,1
18584089,"Clean, quite, and near a lot of transportation",Private room,1
17952472,和缘特色浪漫房,Private room,2
29157794,Full size room for rent,Private room,0
21313640,Spacious Apartment in Historic Brooklyn Brownstone,Entire home/apt,2
17388041,"Private Entrance,Room and Bathroom!",Private room,2
21924630,Spacious 2 bedroom in heart of Williamsburg!,Entire home/apt,2
2830518,"Safe Clean Sunny, 15 min Manhattan",Private room,0
5037892,Stay in Harlem 1 - 3 months!,Private room,1
21891982,LUXURY IN MURRAY HILL-25TH FLR/W/DRYER-FANTASTIC!,Entire home/apt,3
26272989,Lovely Prospect Heights duplex with private patio,Entire home/apt,2
29362785,"Nice, fun,  Brooklyn! Bedroom & private bath",Private room,1
21900721,Cozy room in a shared apt,Private room,1
23633175,Private room in a huge Red Hook loft,Private room,0
32699108,"In the heart of Hunters Point, Long Island City",Entire home/apt,3
22465327,"*NEW*6 BED BROOKLYN DUPLX,15 MIN TRAIN RIDE 2 CITY",Entire home/apt,3
11326009,Cozy SunLit Room Next To TimeSquare,Private room,1
29206535,Superior One Bedroom Apartment in Prime Brooklyn,Private room,1
1273533,1 Bedroom avail in BK 3BD w/ porch,Private room,1
21068619,Clean & nice room near Central Park/2min to subway,Private room,1
35738953,Bedroom in Downtown Brooklyn Near Manhattan,Private room,1
32575481,Private room in 2 bedroom apartment,Private room,1
16462626,Hip 2 Bed in Williamsburg w/Private Backyard,Entire home/apt,2
11574674,"Bright 2 bedroom aparment, Bushwick",Entire home/apt,2
10130963,Family room with Shared Bathroom,Private room,2
35304260,"Light Airy, Private Bath, Oasis 15 min to Midtown",Private room,0
33828528,Stunning Private Bedroom in Prime NYC/by Columbia!,Private room,0
24169179,NEW!!  Private room in the heart of Brooklyn,Private room,1
1496319,Private Huge 2br Williamsburg Artist Apartment!,Entire home/apt,2
16337271,"Charming Central 1- Bedroom Apartment, Gramercy",Entire home/apt,2
33711101,Spacious private room in the heart of Astoria,Private room,1
20616948,AMAZING AND QUITE 2 BEDROOM APARTMENT ON SOUTH ST.,Entire home/apt,2
7218561,Bed-Stuy BKNY FREEWasher/Dryer,Private room,0
14992784,Prívate Cozy Room,Private room,0
35943489,Prime Nolita/Soho/Little Italy studio apt,Entire home/apt,2
22513387,Stellar Crown Heights Location! (Private Bdrm),Private room,0
18795447,Large Private Room in Heart of Diversity.,Private room,0
6385547,3 Bedroom Greenpoint Townhouse,Entire home/apt,3
17559679,Trendy Carroll Gardens Boutique apartment,Entire home/apt,2
28741369,Cozy Renovated New Apt with Private Bathroom,Private room,0
2112344,Private Bushwick Loved Room with a Sacred Garden,Private room,1
18610544,Cozy Room in Gramercy,Private room,1
19218475,Cozy Private Large Bed in Prime Chelsea,Private room,1
7911917,Beautiful Studio // East Village,Entire home/apt,2
23764185,Sonder | 180 Water | Sleek 1BR + Rooftop,Entire home/apt,2
34063821,Bedroom in the Heart of Brooklyn,Private room,1
29008767,FT GREENE STUDIO (1BD FEEL) NEAR ALL SUBWAYS,Entire home/apt,2
7746872,Stylish 2BR! 5 min to Central Park!,Entire home/apt,2
32108840,Boho Chic Apartment in the Heart of Brooklyn,Entire home/apt,2
34034553,Beautiful little apartment on the Upper East Side,Entire home/apt,2
8334574,Unbeatable NY room in East Village!,Private room,2
4537297,Rosa B Private Apartment! Quiet and Safe Area.,Entire home/apt,0
6939758,Mid-century Apt. Next To Subway,Private room,1
27030230,Ground Floor Retreat near BKLYN Children’s Museum,Entire home/apt,2
36450435,Sunny Modern Studio Apartment in Williamsburg,Entire home/apt,2
33129394,Northern Manhattan Bicycle & Guitar Oasis,Entire home/apt,2
29576256,(A) Brand New apto just few steps from the train,Private room,0
5309343,Serene West Village Sun-flooded apt,Entire home/apt,2
22510506,Prívate room,Private room,0
19603348,"Clean, Bright Studio Apartment",Entire home/apt,1
6516344,Beautiful Spacious 1 Bed in Hip Harlem Neighborhd,Entire home/apt,2
30554660,STEPS TO COOL BARS AND COFFEE SHOPS! B/1,Private room,0
4343312,Room For Rent,Private room,0
12114228,Charming UES Studio,Entire home/apt,1
21984356,Brooklyn In Style Queen Room in Gowanus Inn,Private room,2
710283,"Sunny, Large & Lovely in Greenpoint",Entire home/apt,3
20993138,Spacious Room only minutes away from 125th area,Private room,0
22379163,Cozy room in a big apartment around Myrtle Ave,Private room,0
12166912,Sunny Prime Heart of East Village Room,Private room,2
36208936,3min to subway - Modern 3BR with walk-in closet,Entire home/apt,2
30766280,音樂之家 Musician and Artist Exhibition Home,Entire home/apt,2
3718713,Sleek 1 bdrm in East W'burg/Bwick,Entire home/apt,1
12914749,"Bright, Clean & Family-friendly Apartment!",Private room,0
25967882,Gorgeous UES DOORMAN Apt + GYM & ROOFTOP clean !,Entire home/apt,2
1778294,Sweet Apartment on Quiet Block,Entire home/apt,2
9132614,Room in the heart of Williamsburg,Private room,1
4331691,Full apartment - cute & quirky,Entire home/apt,1
4158078,Private room in Loft,Private room,0
10117223,"Charming Room in Bushwick, Brooklyn Apt",Private room,0
17561119,One BR duplex loft in midtown east townhouse - 43,Entire home/apt,2
2093304,Hidden gem in Fort Greene,Entire home/apt,1
17345621,Huge beautiful apartment - entire floor!,Entire home/apt,1
21256268,"Cozy, Elegant & Spacious Studio in Upper East Side",Entire home/apt,2
18080436,★cozy apartment ★,Private room,0
31088862,"Luxury, Sunny, Comfy, Gorgeous views, Central Park",Entire home/apt,3
13186374,Sean,Entire home/apt,3
33061453,Luxury NYC Rental/Affordable /Roosevelt Island 2,Private room,1
31690275,Cozy & Colorful in Bushwick,Private room,0
16499824,"Upper West 2BR, Met, Lincoln Center, Central Park",Entire home/apt,2
29299404,Spacious Studio in Historic Neighborhood,Entire home/apt,1
9146595,Super cozy private 1 bedroom garden apartment,Entire home/apt,2
10232344,Cozy studio in heart of Manhattan,Entire home/apt,2
30924783,STEPS FROM BALL DROP IN TIME SQR! Sleeps up to 8!,Entire home/apt,3
19387694,Cool town house,Entire home/apt,3
2637533,Spacious Studio Suite w Adjoining Sunroom,Entire home/apt,1
35543560,Sun filled 1br in the heart of Bushwick,Private room,0
27222424,Townhouse private 1 1/2 bedroom garden apartment,Entire home/apt,2
18675061,Private Room in beautiful UWS - Great Location!,Private room,1
16499274,Two bedroom apt in Williamsburg,Entire home/apt,1
31582797,Modern & Spacious Brownstone Apartment,Entire home/apt,2
14963404,Bright cozy room with balcony near Prospect Park.,Private room,1
4738250,room in prime williamsburg,Private room,1
23918916,Private Sunny Room in Park Slope,Private room,0
18535402,Cozy room in Bayside Queens,Private room,0
21366806,Comfortable air bed near bronx zoo and sbh,Private room,0
29799125,1 bedroom within walking distance to Times Sq,Entire home/apt,2
18523629,"Spacious, sunny, stylish FAMILY 3-bed, 2-bath apt!",Entire home/apt,2
20325804,Downtown Manhattan  large studio with terrace,Entire home/apt,2
34652761,Entire 1 Bedroom Apartment with Rooftop Access,Entire home/apt,1
4766819,1 bedroom in Prime Williamsburg,Private room,0
7652181,Sunny Room in Tropical Apartment,Private room,1
10766339,Gorgeous 2BR by Brooklyn Museum,Entire home/apt,1
27194554,Upper West Side Getaway In the City Center,Private room,0
3808323,Large Private Rm in Historic Central Harlem Home,Private room,0
2936192,Bright Quiet Room in the W Village,Private room,2
36238864,Home away from home 2BDR apartment,Entire home/apt,2
7790838,"Quiet, Charming Studio in UES",Entire home/apt,2
22088615,Quirky East Williamsburg/Bushwick Artist Duplex,Private room,0
5136673,Spacious Brooklyn Loft/private room,Private room,0
26948057,Central Park West Luxury One bedroom with Balcony,Entire home/apt,2
24676594,Duplex STUDIO With Sunset View,Entire home/apt,2
33019100,Newly Renovated Garden Apartment,Entire home/apt,2
30525680,Prospect Heights Garden Duplex,Entire home/apt,2
10563076,Large Sunny East Williamsburg Loft,Entire home/apt,1
26668018,"Prime Location Cozy, Posh,  Upper East Side Room 2",Private room,2
9733741,Best Neighborhood Brand New 1 BDRM!,Entire home/apt,2
35369883,An Astorians cozy room for you :),Private room,0
33270782,Spacious & Bright Brooklyn Getaway near trains,Private room,1
30940780,Waterfront Room with Manhattan View and Balcony,Private room,2
5022,Entire Apt: Spacious Studio/Loft by central park,Entire home/apt,1
28743080,"Clean, Cozy & Charming Shared Room in Manhattan",Shared room,1
13392941,Private Bedroom w/ Queen Bed in Financial District,Private room,1
32241577,Sonder | Stock Exchange | Chic 1BR + Kitchen,Entire home/apt,2
4549155,Quaint Brownstone with Garden,Entire home/apt,2
26357357,Private cozy Room near Central Park & Museum Mile,Private room,1
19786549,Dungeon heaven. SOHO loft-feel in Bklyn.❤️❤️❤️❤️❤️,Entire home/apt,0
14473548,Luxury 2BR/2BATH TownhousUpper East Side Manhattan,Entire home/apt,3
9615815,Sunny and Cozy apt in Midtown,Entire home/apt,2
6384560,Sublet in Furnished Master Bedroom,Private room,1
30067603,"Comfortable, Jazzy, Netflix",Private room,0
21446560,Private Bedroom and Bathroom in doorman building.,Private room,2
27707562,Pleasant Place 5 mins away from JFK Airport,Private room,0
34378303,A Home Away from Home!,Private room,0
27312914,Mint room w/attached bath in center of Flushing,Private room,1
35376063,Bright and Airy Williamsburg Apartment,Entire home/apt,2
21803004,Modern Room in the heart of Manhattan(just female),Private room,1
10612199,Serene luxury in Harlem,Private room,1
35188430,"Spacious Bushwick Room, 5 min walk to L & M Train",Private room,0
20818955,Cozy Room in a Friendly House CLOSE TO SUBWAY,Private room,0
813554,Historic Park Slope Gem - 1br,Entire home/apt,2
18191965,Upper east side - Cozy Room,Private room,2
33430829,Artists Corner,Entire home/apt,1
20457624,The Suite Spot! Queen Tempurpedic in Luxury Apt,Private room,0
36414101,New York cutest studio,Entire home/apt,1
35807411,Beautiful private room in 3br apartment!,Private room,0
20090389,Studio at Central Park North with fast/easy travel everywhere in NYC!,Entire home/apt,2
28204876,Private modern studio suite with private bathroom,Entire home/apt,1
3042553,Quiet bedroom in East Village NY.,Private room,1
21648143,Light room with view of Manhattan skyline,Private room,1
34464380,Williamsburg 2 Bed Condo-Sleeps 7,Entire home/apt,2
26996408,Multicultural House,Entire home/apt,1
35789987,Brand new fully furnished studio apartment!,Entire home/apt,2
34316984,Lavidaloca plc,Private room,1
9514860,Amazing last minute Thanksgiving,Entire home/apt,3
6955143,Large Sunny Private Bedroom,Private room,2
31878924,Dreamy Private Bedroom Upper West Side 107,Private room,0
14198486,"Large, quiet room with backyard garden",Private room,0
13824091,"Empty 3 bedroom apartment in Bushwick, Brooklyn",Entire home/apt,0
34890712,Bushwick Enclave with Backyard - ByCrochet,Private room,2
10341262,Authentic 2BR in UES 30 days MIN,Entire home/apt,2
34793874,Upper East Side! Studio Near Museum Mile!,Entire home/apt,2
6041875,Harlem 2bdr apt,Entire home/apt,2
34572976,Empire CIty - King Lux King Room,Private room,3
11488593,LUXURY DOORMAN STUDIO ON EAST 44th STREET,Entire home/apt,2
6672758,Cool Large 3 bedrooms in the heart of East village,Entire home/apt,2
5003266,A hop to La Guardia Airport in quiet College Point,Private room,0
64837,ENJOY Downtown NYC!!,Private room,0
23754556,Studio on East 44th street and 2nd Ave,Entire home/apt,2
15728780,"SOMMwhere in NYC/ a unique, conscious artists loft",Private room,3
35770530,"Spacious, Luxury Duplex with Outside Deck",Entire home/apt,2
